week,region,price,log_price,price_change
1994-06-06,Midwest,1.059,0.05732506661926935,0.005681833467430966
1994-06-13,Midwest,1.067,0.06485097231961627,0.007525905700346919
1994-06-20,Midwest,1.075,0.07232066157962608,0.007469689260009807
1994-06-27,Midwest,1.097,0.09257918129309317,0.020258519713467094
1994-07-04,Midwest,1.095,0.09075436326846412,-0.0018248180246290546
1994-07-11,Midwest,1.099,0.0944006754214843,0.0036463121530201786
1994-07-18,Midwest,1.109,0.10345870836822997,0.009058032946745675
1994-07-25,Midwest,1.119,0.11243542932978817,0.008976720961558202
1994-08-01,Midwest,1.14,0.131028262406404,0.018592833076615828
1994-08-08,Midwest,1.175,0.16126814759612232,0.03023988518971832
1994-08-15,Midwest,1.172,0.1587116911548208,-0.002556456441301508
1994-08-22,Midwest,1.179,0.16466662155523393,0.0059549304004131165
1994-08-29,Midwest,1.164,0.15186234930924603,-0.012804272245987902
1994-09-05,Midwest,1.158,0.14669437915080344,-0.005167970158442586
1994-09-12,Midwest,1.145,0.13540463700620298,-0.011289742144600462
1994-09-19,Midwest,1.128,0.12044615307586706,-0.014958483930335914
1994-09-26,Midwest,1.11,0.10436001532424286,-0.016086137751624208
1994-10-03,Midwest,1.092,0.08801087732271337,-0.016349138001529484
1994-10-10,Midwest,1.087,0.08342160813907236,-0.004589269183641012
1994-10-17,Midwest,1.073,0.07045846364856137,-0.012963144490510989
1994-10-24,Midwest,1.072,0.0695260626486103,-0.0009324009999510663
1994-10-31,Midwest,1.094,0.08984070399978954,0.020314641351179233
1994-11-07,Midwest,1.092,0.08801087732271337,-0.0018298266770761656
1994-11-14,Midwest,1.087,0.08342160813907236,-0.004589269183641012
1994-11-21,Midwest,1.072,0.0695260626486103,-0.013895545490462055
1994-11-28,Midwest,1.064,0.0620353909194527,-0.007490671729157607
1994-12-05,Midwest,1.061,0.05921185963184603,-0.002823531287606665
1994-12-12,Midwest,1.054,0.05259245011917063,-0.006619409512675402
1994-12-19,Midwest,1.053,0.051643233151838386,-0.0009492169673322448
1994-12-26,Midwest,1.041,0.04018178963283176,-0.011461443519006624
1995-01-02,Midwest,1.045,0.04401688541677426,0.003835095783942498
1995-01-09,Midwest,1.066,0.06391332574365285,0.019896440326878595
1995-01-16,Midwest,1.051,0.04974209189481401,-0.014171233848838845
1995-01-23,Midwest,1.071,0.06859279146561167,0.018850699570797665
1995-01-30,Midwest,1.072,0.0695260626486103,0.0009332711829986295
1995-02-06,Midwest,1.062,0.060153922819747144,-0.00937213982886316
1995-02-13,Midwest,1.058,0.05638033343610769,-0.0037735893836394543
1995-02-20,Midwest,1.049,0.04783732941416006,-0.008543004021947631
